Arıza Detayı,stemmed_text
Crank RPM Too Low Crank RPM Too Low,crank rpm low crank rpm low
CKP Circuit CKP Circuit,ckp circuit ckp circuit
BM Output High Pulse Detected When GND Cyl 2 BM Output High Pulse Detected,bm output high puls detect gnd cyl bm output high puls detect
BM Output High Pulse Detected When GND Cyl 3 BM Output High Pulse Detected,bm output high puls detect gnd cyl bm output high puls detect
BM Output High Pulse Detected When GND Cyl 5 BM Output High Pulse Detected,bm output high puls detect gnd cyl bm output high puls detect
BM Output High Pulse Detected When GND Cyl 8 BM Output High Pulse Detected,bm output high puls detect gnd cyl bm output high puls detect
Ignition Coil Group 1 Control Circuit Ignition Coil Group 1 Control,ignit coil group control circuit ignit coil group control
Ignition Coil Control Circuit Low Voltage Ignition Coil Control Circuit,ignit coil control circuit low voltag ignit coil control circuit
BM Cylinder 2 Not Activated After Transition BM Cylinder 2 Not Activated,bm cylind activ transit bm cylind activ
BM Cylinder 4 Not Activated After Transition BM Cylinder 4 Not Activated,bm cylind activ transit bm cylind activ
BM Cylinder 6 Not Activated After Transition BM Cylinder 6 Not Activated,bm cylind activ transit bm cylind activ
BM 4X Reference Circuit Too Many Pulses BM 4X Reference Circuit Too Many,bm refer circuit mani puls bm refer circuit mani
Crankshaft Position CKP Sensor AB Correlation Crankshaft Position CKP Sensor AB,crankshaft posit ckp sensor ab correl crankshaft posit ckp sensor ab
BM 24X Reference Circuit High Voltage BM 24X Reference Circuit High,bm refer circuit high voltag bm refer circuit high
BM Cam Pulse to 4X Reference Pulse BM Cam Pulse to 4X Reference,bm cam puls refer puls bm cam puls refer
Misfire Detected Rough Road Data Unusable Misfire Detected Rough Road,misfir detect rough road data unus misfir detect rough road
Wheel Speed Sensor 1 G Sensor Circuit Performance Wheel Speed Sensor 1 G,wheel speed sensor g sensor circuit perform wheel speed sensor g
Wheel Speed Sensor 1 G Sensor Circuit Low Voltage Wheel Speed Sensor 1 G,wheel speed sensor g sensor circuit low voltag wheel speed sensor g
Wheel Speed Sensor 1 G Sensor Circuit Intermittent Wheel Speed Sensor 1 G,wheel speed sensor g sensor circuit intermitt wheel speed sensor g
Wheel Speed Sensor 2 G Sensor Circuit Performance Wheel Speed Sensor 2 G,wheel speed sensor g sensor circuit perform wheel speed sensor g
Wheel Speed Sensor 2 G Sensor Circuit Low Voltage Wheel Speed Sensor 2 G,wheel speed sensor g sensor circuit low voltag wheel speed sensor g
Wheel Speed Sensor 2 G Sensor Circuit High Voltage Wheel Speed Sensor 2 G,wheel speed sensor g sensor circuit high voltag wheel speed sensor g
Exhaust Gas Recirculation System Valve 1 Exhaust Gas Recirculation System,exhaust ga recircul system valv exhaust ga recircul system
Exhaust Gas Recirculation EGR Closed Position Performance Exhaust Gas Recirculation EGR,exhaust ga recircul egr close posit perform exhaust ga recircul egr
Exhaust Gas Recirculation System Valve 3 Exhaust Gas Recirculation System,exhaust ga recircul system valv exhaust ga recircul system
EGR Air Intrusion Exhaust Supply in EGR Valve EGR Air Intrusion Exhaust Supply,egr air intrus exhaust suppli egr valv egr air intrus exhaust suppli
Intake Manifold Pressure Sensor Circuit Intake Manifold Pressure Sensor,intak manifold pressur sensor circuit intak manifold pressur sensor
EGR Vacuum System Leak EGR Vacuum System Leak,egr vacuum system leak egr vacuum system leak
Fuel Tank Pressure System Fuel Tank Pressure System,fuel tank pressur system fuel tank pressur system
Intake Air Low Pressure Switch Circuit High Voltage Intake Air Low Pressure,intak air low pressur switch circuit high voltag intak air low pressur
Intake Air High Pressure Switch Circuit High Voltage Intake Air High Pressure,intak air high pressur switch circuit high voltag intak air high pressur
Fuel Level Sensor 2 Circuit Performance Fuel Level Sensor 2 Circuit,fuel level sensor circuit perform fuel level sensor circuit
Fuel Level Sensor 2 Circuit Low Voltage Fuel Level Sensor 2 Circuit,fuel level sensor circuit low voltag fuel level sensor circuit
Evaporative Emission EVAP System Flow During Non-Purge Evaporative Emission EVAP System,evapor emiss evap system flow nonpurg evapor emiss evap system
EVAP Vacuum Switch High Voltage During IGN On EVAP Vacuum Switch High Voltage,evap vacuum switch high voltag ign evap vacuum switch high voltag
Barometric Pressure Sensor Performance Barometric Pressure Sensor,barometr pressur sensor perform barometr pressur sensor
Cooling Fan Control System Cooling Fan Control System,cool fan control system cool fan control system
Cooling Fan 1 Control Circuit High Cooling Fan 1 Control Circuit,cool fan control circuit high cool fan control circuit
Cooling Fan Speed Sensor Circuit Cooling Fan Speed Sensor Circuit,cool fan speed sensor circuit cool fan speed sensor circuit
Cooling Fan Speed Output Circuit Cooling Fan Speed Output Circuit,cool fan speed output circuit cool fan speed output circuit
Engine Cooling System Performance Engine Cooling System,engin cool system perform engin cool system
Cooling Fan System Performance Cooling Fan System Performance,cool fan system perform cool fan system perform
Start Signal Circuit Start Signal Circuit,start signal circuit start signal circuit
Vehicle Speed Sensor Circuit Intermittent Vehicle Speed Sensor Circuit,vehicl speed sensor circuit intermitt vehicl speed sensor circuit
Theft Deterrent Fuel Enable Signal Not Received Theft Deterrent Fuel,theft deterr fuel enabl signal receiv theft deterr fuel
Theft Deterrent Fuel Enable Signal Not Correct Theft Deterrent Fuel,theft deterr fuel enabl signal correct theft deterr fuel
Idle Speed Low Idle Air Control IAC System Not Responding Idle Speed Low Idle Air,idl speed low idl air control iac system respond idl speed low idl air
Throttle Control System Backup System Performance Throttle Control System,throttl control system backup system perform throttl control system
Electronic System Throttle Position Electronic System Throttle Position,electron system throttl posit electron system throttl posit
Electronic Throttle Module Electronic Throttle Module,electron throttl modul electron throttl modul
Electronic Throttle Module PCM Communication Electronic Throttle Module PCM,electron throttl modul pcm commun electron throttl modul pcm
Throttle Actuator Control TAC Module Internal Circuit Throttle Actuator Control TAC,throttl actuat control tac modul intern circuit throttl actuat control tac
Minimum Throttle Position Not Learned Minimum Throttle Position Not,minimum throttl posit learn minimum throttl posit
Heated Windshield Request Problem Heated Windshield Request Problem,heat windshield request problem heat windshield request problem
A/C Low Side Temperature Sensor Failure A/C Low Side Temperature Sensor,ac low side temperatur sensor failur ac low side temperatur sensor
A/C Evaporator Temp Sensor Circuit High Voltage A/C Evaporator Temp Sensor,ac evapor temp sensor circuit high voltag ac evapor temp sensor
A/C System Temp Sensor Low Voltage A/C System Temp Sensor Low,ac system temp sensor low voltag ac system temp sensor low
A/C Request Circuit Low Voltage A/C Request Circuit Low Voltage,ac request circuit low voltag ac request circuit low voltag
Air Conditioner A/C Refrigerant Overpressure A/C Disabled Air Conditioner A/C,air condition ac refriger overpressur ac disabl air condition ac
A/C System High Pressure High Temperature A/C System High Pressure High,ac system high pressur high temperatur ac system high pressur high
A/C System Performance A/C System Performance,ac system perform ac system perform
A/C Refrigerant Condition Too Low A/C Refrigerant Condition Too Low,ac refriger condit low ac refriger condit low
A/C Clutch Status Circuit Low Voltage A/C Clutch Status Circuit,ac clutch statu circuit low voltag ac clutch statu circuit
Throttle Valve Position Not Learned During Rest Throttle Valve Position Not,throttl valv posit learn rest throttl valv posit
Cruise Control Servo Indicates Low Cruise Control Servo Indicates,cruis control servo indic low cruis control servo indic
Cruise Control Power Management Mode Cruise Control Power Management,cruis control power manag mode cruis control power manag
Transaxle Not in Drive Cruise Control Disabled Transaxle Not in Drive Cruise,transaxl drive cruis control disabl transaxl drive cruis
Cruise Vacuum Solenoid Cruise Vacuum Solenoid,cruis vacuum solenoid cruis vacuum solenoid
Banking Control Active Cruise Control Disabled Banking Control Active,bank control activ cruis control disabl bank control activ
Cruise Servo Brain High During Non-Cruise Cruise Servo Brain High,cruis servo brain high noncruis cruis servo brain high
Traction Control Torque Request Circuit Traction Control Torque Request Circuit,traction control torqu request circuit traction control torqu request circuit
ASR Active Circuit Low Too Long ASR Active Circuit Low Too Long,asr activ circuit low long asr activ circuit low long
Stoplamp Switch Circuit Stoplamp Switch Circuit,stoplamp switch circuit stoplamp switch circuit
BBV Sensor Circuit High Voltage BBV Sensor Circuit High Voltage,bbv sensor circuit high voltag bbv sensor circuit high voltag
BBV Sensor Circuit Low Vacuum BBV Sensor Circuit Low Vacuum,bbv sensor circuit low vacuum bbv sensor circuit low vacuum
Cruise Circuit Low Voltage Carrier Cruise Circuit Low Voltage Carrier,cruis circuit low voltag carrier cruis circuit low voltag carrier
Cruise Direction Circuit Low Voltage Cruise Direction Circuit Low Voltage,cruis direct circuit low voltag cruis direct circuit low voltag
Cruise Control Disabled Cruise Control Disabled,cruis control disabl cruis control disabl
Cruise Control Clutch Control Circuit High Cruise Control Clutch Control,cruis control clutch control circuit high cruis control clutch control
Engine Retard or Close Retard Detected Engine Retard or Close,engin retard close retard detect engin retard close
TCM Internal Watchdog Operation TCM Internal Watchdog Operation,tcm intern watchdog oper tcm intern watchdog oper
Serial Communication Problem with Device 1 Serial Communication Problem with Device 1,serial commun problem devic serial commun problem devic
Knock Sensor KS Module Performance Knock Sensor KS Module Performance,knock sensor ks modul perform knock sensor ks modul perform
IPC Loss of Serial Data IPC Loss of Serial Data,ipc loss serial data ipc loss serial data
Serial Communication Problem with Device 6 Serial Communication Problem with Device 6,serial commun problem devic serial commun problem devic
Serial Communication Problem with Device 8 Serial Communication Problem with Device 8,serial commun problem devic serial commun problem devic
PZM Loss of Serial Data PZM Loss of Serial Data,pzm loss serial data pzm loss serial data
IPM Loss of Serial Data IPM Loss of Serial Data,ipm loss serial data ipm loss serial data
Engine Oil Level Switch Circuit Engine Oil Level Switch Circuit,engin oil level switch circuit engin oil level switch circuit
Low Coolant Circuit Low Coolant Circuit,low coolant circuit low coolant circuit
Cylinder Select Cylinder Select,cylind select cylind select
Customer Snapshot Request Data Available Customer Snapshot Request Data,custom snapshot request data avail custom snapshot request data
Theft Deterrent Fuel Enable Signal Not Received Theft Deterrent Fuel,theft deterr fuel enabl signal receiv theft deterr fuel
ECT Pull-Up Resistor ECT Pull-Up Resistor,ect pullup resistor ect pullup resistor
Theft Deterrent Mode Active Theft Deterrent,theft deterr mode activ theft deterr
Theft Deterrent Fuel Disable Signal Received Theft Deterrent,theft deterr fuel disabl signal receiv theft deterr
Ignition 1 Switch Circuit Ignition 1 Switch Circuit,ignit switch circuit ignit switch circuit
PCM Stack Overflow PCM Stack Overflow,pcm stack overflow pcm stack overflow
Generator F Terminal Circuit Generator F Terminal Circuit,gener f termin circuit gener f termin circuit
5 Volt Reference 2 Circuit 5 Volt Reference 2 Circuit,volt refer circuit volt refer circuit
Driver 1 Input High Voltage Driver 1 Input High Voltage,driver input high voltag driver input high voltag
Vehicle Speed Output Circuit Vehicle Speed Output Circuit,vehicl speed output circuit vehicl speed output circuit
Traction Control Delivered Torque Output Circuit Traction Control Delivered Torque,traction control deliv torqu output circuit traction control deliv torqu
Driver 1 Line 7 Driver 1 Line 7,driver line driver line
Fan 1 Relay Control Circuit Fan 1 Relay Control Circuit,fan relay control circuit fan relay control circuit
Cruise Control Inhibiting Output Circuit Cruise Control Inhibiting Output,cruis control inhibit output circuit cruis control inhibit output
Driver 2 Line 6 Driver 2 Line 6,driver line driver line
