Arıza Detayı,lemmatized_text
Intake Manifold Runner Control IMRC Solenoid Control Circuit High Voltage Intake Manifold Runner Control,intake manifold runner control imrc solenoid control circuit high voltage intake manifold runner control
Fuel Level Sensor 2 Circuit Low Voltage Fuel Level Sensor 2 Circuit Low,fuel level sensor circuit low voltage fuel level sensor circuit low
Fuel Level Sensor 2 Circuit High Voltage Fuel Level Sensor 2 Circuit High,fuel level sensor circuit high voltage fuel level sensor circuit high
Post Catalyst Fuel Trim System Low Limit Post Catalyst Fuel Trim System,post catalyst fuel trim system low limit post catalyst fuel trim system
Throttle Actuator Control TAC Motor Control Circuit Throttle Actuator Control TAC,throttle actuator control tac motor control circuit throttle actuator control tac
Control Module Throttle Actuator Position Performance Control Module Throttle Actuator,control module throttle actuator position performance control module throttle actuator
Throttle Actuator Control TAC Module Internal Circuit Throttle Actuator Control TAC,throttle actuator control tac module internal circuit throttle actuator control tac
Throttle Actuator Control TAC Module Performance Throttle Actuator Control TAC,throttle actuator control tac module performance throttle actuator control tac
Accelerator Pedal Position APP Sensor 1 Circuit High Voltage Accelerator Pedal Position APP,accelerator pedal position app sensor circuit high voltage accelerator pedal position app
Accelerator Pedal Position APP Sensor 2 Circuit Low Voltage Accelerator Pedal Position APP,accelerator pedal position app sensor circuit low voltage accelerator pedal position app
Accelerator Pedal Position APP Sensor 2 Circuit High Voltage Accelerator Pedal Position APP,accelerator pedal position app sensor circuit high voltage accelerator pedal position app
Throttle Position TP Sensor 1-2 Correlation Throttle Position TP Sensor 1-2,throttle position tp sensor correlation throttle position tp sensor
Generator L Terminal Circuit High Voltage Generator L Terminal Circuit High,generator l terminal circuit high voltage generator l terminal circuit high
ECU Failure ECU Failure,ecu failure ecu failure
Open or TCC PWM Solenoid Valve Circuit Short to Ground Open or TCC PWM Solenoid Valve,open tcc pwm solenoid valve circuit short ground open tcc pwm solenoid valve
Heated Oxygen Sensor HO2S Heater Current Monitor Control Circuit Banks 1 and 2 Sensor 1 Heated Oxygen Sensor HO2S,heated oxygen sensor heater current monitor control circuit bank sensor heated oxygen sensor
Heated Oxygen Sensor HO2S Heated Oxygen Sensor HO2S,heated oxygen sensor heated oxygen sensor
MAF MAP EGR Actual Measured Air Flow and TP Calculated Air Flow Not Within Range MAF MAP EGR Actual Measured Air Flow,maf map egr actual measured air flow tp calculated air flow within range maf map egr actual measured air flow
Manifold Absolute Pressure MAP Sensor Circuit Intermittent High Voltage Manifold Absolute Pressure MAP,manifold absolute pressure map sensor circuit intermittent high voltage manifold absolute pressure map
MAP Sensor Comparison Too High Baro MAP Sensor Comparison,map sensor comparison high baro map sensor comparison
Intake Air Temperature IAT Sensor Circuit Intermittent Low Voltage Intake Air Temperature IAT,intake air temperature iat sensor circuit intermittent low voltage intake air temperature iat
Intake Resonance Switchover Solenoid Control Circuit Intake Resonance Switchover Solenoid,intake resonance switchover solenoid control circuit intake resonance switchover solenoid
Engine Coolant Temperature ECT Sensor Circuit Intermittent High Voltage Engine Coolant Temperature ECT,engine coolant temperature ect sensor circuit intermittent high voltage engine coolant temperature ect
Engine Coolant Temp Signal Out of Range Low Engine Coolant Temp Signal,engine coolant temp signal range low engine coolant temp signal
Throttle Position TP Sensor 1 Circuit Throttle Position TP Sensor 1,throttle position tp sensor circuit throttle position tp sensor
Throttle Position TP Sensor Circuit Intermittent Low Voltage Throttle Position TP Sensor,throttle position tp sensor circuit intermittent low voltage throttle position tp sensor
Heated Oxygen Sensor HO2S Circuit Low Variance Bank 1 Sensor 1 Heated Oxygen Sensor HO2S,heated oxygen sensor circuit low variance bank sensor heated oxygen sensor
Heated Oxygen Sensor HO2S Insufficient Switching Bank 1 Sensor 1 Heated Oxygen Sensor HO2S,heated oxygen sensor insufficient switching bank sensor heated oxygen sensor
Heated Oxygen Sensor HO2S Lean Sensor 1 Bank 1 Mean Heated Oxygen Sensor HO2S,heated oxygen sensor lean sensor bank mean heated oxygen sensor
Heated Oxygen Sensor HO2S Rich Sensor 1 Bank 1 Mean Heated Oxygen Sensor HO2S,heated oxygen sensor rich sensor bank mean heated oxygen sensor
Heated Oxygen Sensor HO2S Bank 1 Sensor 2 Rich or High Voltage Heated Oxygen Sensor HO2S,heated oxygen sensor bank sensor rich high voltage heated oxygen sensor
Heated Oxygen Sensor HO2S Transition Time Ratio Bank 1 Sensor 2 Heated Oxygen Sensor HO2S,heated oxygen sensor transition time ratio bank sensor heated oxygen sensor
Heated Oxygen Sensor HO2S Bank 1 Sensor 3 Rich or High Voltage Heated Oxygen Sensor HO2S,heated oxygen sensor bank sensor rich high voltage heated oxygen sensor
Heated Oxygen Sensor HO2S Cross Counts Bank 1 Sensor 3 Heated Oxygen Sensor HO2S,heated oxygen sensor cross count bank sensor heated oxygen sensor
Heated Oxygen Sensor HO2S Transition Time Ratio Bank 2 Sensor 1 Heated Oxygen Sensor HO2S,heated oxygen sensor transition time ratio bank sensor heated oxygen sensor
Heated Oxygen Sensor HO2S Lean Bank 2 Sensor 1 Mean Heated Oxygen Sensor HO2S,heated oxygen sensor lean bank sensor mean heated oxygen sensor
Heated Oxygen Sensor HO2S Rich Bank 2 Sensor 1 Mean Heated Oxygen Sensor HO2S,heated oxygen sensor rich bank sensor mean heated oxygen sensor
Heated Oxygen Sensor HO2S Bank 2 Sensor 2 Rich or High Voltage Heated Oxygen Sensor HO2S,heated oxygen sensor bank sensor rich high voltage heated oxygen sensor
Heated Oxygen Sensor HO2S Cross Counts Bank 2 Sensor 2 Heated Oxygen Sensor HO2S,heated oxygen sensor cross count bank sensor heated oxygen sensor
Heated Oxygen Sensor HO2S Bank 2 Sensor 3 Lean System or Low Voltage Heated Oxygen Sensor HO2S,heated oxygen sensor bank sensor lean system low voltage heated oxygen sensor
Heated Oxygen Sensor HO2S Bank 2 Sensor 3 Rich or High Voltage Heated Oxygen Sensor HO2S,heated oxygen sensor bank sensor rich high voltage heated oxygen sensor
Heated Oxygen Sensor HO2S Cross Counts Bank 2 Sensor 3 Heated Oxygen Sensor HO2S,heated oxygen sensor cross count bank sensor heated oxygen sensor
Bank Fuel Trim Offset Bank Fuel Trim Offset,bank fuel trim offset bank fuel trim offset
Engine Oil Temperature Circuit Engine Oil Temperature Circuit,engine oil temperature circuit engine oil temperature circuit
EOT Circuit Performance EOT Circuit Performance,eot circuit performance eot circuit performance
EOT Sensor Circuit High Voltage EOT Sensor Circuit High Voltage,eot sensor circuit high voltage eot sensor circuit high voltage
Engine Oil Pressure EOP Switch Circuit Engine Oil Pressure EOP Switch,engine oil pressure eop switch circuit engine oil pressure eop switch
Injector Control Circuit Injector Control Circuit,injector control circuit injector control circuit
Mass Air Flow Circuit Intermittent High Mass Air Flow Circuit,mass air flow circuit intermittent high mass air flow circuit
Mass Air Flow Circuit Intermittent Low Mass Air Flow Circuit,mass air flow circuit intermittent low mass air flow circuit
Injection Pump Calibration Circuit Injection Pump Calibration Circuit,injection pump calibration circuit injection pump calibration circuit
Fuel Pump Secondary Circuit Low Fuel Pump Secondary Circuit,fuel pump secondary circuit low fuel pump secondary circuit
Supercharger System Overboost Supercharger System,supercharger system overboost supercharger system
Last Test Failed SCC ENTER More Information Last Test Failed,last test failed scc enter information last test failed
Accelerator Pedal Position Sensor 2 Accelerator Pedal Position Sensor,accelerator pedal position sensor accelerator pedal position sensor
Accelerator Pedal Position Sensor 1 Accelerator Pedal Position Sensor,accelerator pedal position sensor accelerator pedal position sensor
Injectors Faulty Wiring Injectors Faulty Wiring,injector faulty wiring injector faulty wiring
Accelerator Pedal Position APP Sensor 1 Circuit Accelerator Pedal Position,accelerator pedal position app sensor circuit accelerator pedal position
Accelerator Pedal Position Sensor 1 Circuit Low Voltage Accelerator Pedal Position Sensor,accelerator pedal position sensor circuit low voltage accelerator pedal position sensor
Accelerator Pedal Position Sensor 1 Circuit High Voltage Accelerator Pedal Position Sensor,accelerator pedal position sensor circuit high voltage accelerator pedal position sensor
Accelerator Pedal Position APP Sensor 2 Circuit Accelerator Pedal Position,accelerator pedal position app sensor circuit accelerator pedal position
Accelerator Pedal Position Sensor 2 Circuit Performance Accelerator Pedal Position Sensor,accelerator pedal position sensor circuit performance accelerator pedal position sensor
Accelerator Pedal Position Sensor 2 Circuit Low Voltage Accelerator Pedal Position Sensor,accelerator pedal position sensor circuit low voltage accelerator pedal position sensor
Accelerator Pedal Position Sensor 2 Circuit High Voltage Accelerator Pedal Position Sensor,accelerator pedal position sensor circuit high voltage accelerator pedal position sensor
Accelerator Pedal Position Sensor 3 Circuit Accelerator Pedal Position Sensor,accelerator pedal position sensor circuit accelerator pedal position sensor
Accelerator Pedal Position Sensor 3 Circuit Low Voltage Accelerator Pedal Position Sensor,accelerator pedal position sensor circuit low voltage accelerator pedal position sensor
Ignitor Circuit Ignitor Circuit,ignitor circuit ignitor circuit
Ignition Coil 2 Primary Feedback Circuit Ignition Coil 2 Primary,ignition coil primary feedback circuit ignition coil primary
EI System or Ignition Control Extra or Missing EI System or Ignition Control,ei system ignition control extra missing ei system ignition control
Crank RPM Too Low Crank RPM Too Low,crank rpm low crank rpm low
CKP Circuit CKP Circuit,ckp circuit ckp circuit
BM Output High Pulse Detected When GND Cyl 2 BM Output High Pulse Detected,bm output high pulse detected gnd cyl bm output high pulse detected
BM Output High Pulse Detected When GND Cyl 3 BM Output High Pulse Detected,bm output high pulse detected gnd cyl bm output high pulse detected
BM Output High Pulse Detected When GND Cyl 5 BM Output High Pulse Detected,bm output high pulse detected gnd cyl bm output high pulse detected
BM Output High Pulse Detected When GND Cyl 8 BM Output High Pulse Detected,bm output high pulse detected gnd cyl bm output high pulse detected
Ignition Coil Group 1 Control Circuit Ignition Coil Group 1 Control,ignition coil group control circuit ignition coil group control
Ignition Coil Control Circuit Low Voltage Ignition Coil Control Circuit,ignition coil control circuit low voltage ignition coil control circuit
